tick, station, state, sender, target, dataType, size, desc
4, S15, RECEIVE, ba:8a:7d:2:e4:ce, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
4, S15, RECEIVE, 48.151.68.235/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 48.151.68.235/0
5, S12, SEND, bc:17:db:1e:9e:de, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
5, S04, SEND, 155.202.229.150/0, 152.56.31.180/0, RCPacket, 28, ROUTE_REP:1 152.56.31.180/0 -> 155.202.229.150/0
5, S04, SEND, 152.56.31.180/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 152.56.31.180/0 -> 155.202.229.150/0
5, S04, SEND, 96:44:1c:d6:94:90, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
5, S14, SEND, 177.45.112.71/0, 14.205.37.179/0, RCPacket, 28, ROUTE_REP:1 14.205.37.179/0 -> 177.45.112.71/0
5, S14, SEND, 14.205.37.179/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 14.205.37.179/0 -> 177.45.112.71/0
5, S08, SEND, 131.64.58.102/0, 152.56.31.180/0, RCPacket, 28, ROUTE_REP:1 152.56.31.180/0 -> 131.64.58.102/0
5, S08, SEND, 152.56.31.180/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 152.56.31.180/0 -> 131.64.58.102/0
5, S08, SEND, ce:d8:48:74:59:a6, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
5, S05, SEND, 8e:c0:91:f3:cf:a6, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
5, S15, SEND, 130.189.133.177/0, 48.151.68.235/0, RCPacket, 28, ROUTE_REP:1 48.151.68.235/0 -> 130.189.133.177/0
5, S15, SEND, 48.151.68.235/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 48.151.68.235/0 -> 130.189.133.177/0
9, S06, RECEIVE, 8e:c0:91:f3:cf:a6, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
9, S06, RECEIVE, 160.220.175.59/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 160.220.175.59/0
9, S10, RECEIVE, bc:17:db:1e:9e:de, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
9, S10, RECEIVE, 178.235.187.92/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 178.235.187.92/0
9, S07, RECEIVE, bc:17:db:1e:9e:de, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
9, S07, RECEIVE, 178.235.187.92/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 178.235.187.92/0
9, S15, RECEIVE, bc:17:db:1e:9e:de, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
9, S15, RECEIVE, 178.235.187.92/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 178.235.187.92/0
10, S02, SEND, f2:f1:f:70:58:f6, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
10, S06, SEND, 7.169.114.21/0, 160.220.175.59/0, RCPacket, 28, ROUTE_REP:1 160.220.175.59/0 -> 7.169.114.21/0
10, S06, SEND, 160.220.175.59/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 160.220.175.59/0 -> 7.169.114.21/0
10, S06, SEND, 77:ac:6c:7d:c4:91, 8e:c0:91:f3:cf:a6, Frame, 20, ACK
10, S10, SEND, 48.151.68.235/0, 178.235.187.92/0, RCPacket, 28, ROUTE_REP:1 178.235.187.92/0 -> 48.151.68.235/0
10, S10, SEND, 178.235.187.92/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 178.235.187.92/0 -> 48.151.68.235/0
10, S10, SEND, ba:8a:7d:2:e4:ce, bc:17:db:1e:9e:de, Frame, 20, ACK
10, S07, SEND, 162.110.76.201/0, 178.235.187.92/0, RCPacket, 28, ROUTE_REP:1 178.235.187.92/0 -> 162.110.76.201/0
10, S07, SEND, 178.235.187.92/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 178.235.187.92/0 -> 162.110.76.201/0
10, S08, SEND, ce:d8:48:74:59:a6, 43:7a:cb:e7:a4:6c, Frame, 20, ACK
10, S15, SEND, 130.189.133.177/0, 178.235.187.92/0, RCPacket, 28, ROUTE_REP:2 178.235.187.92/0 -> 130.189.133.177/0
10, S15, SEND, 178.235.187.92/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 178.235.187.92/0 -> 130.189.133.177/0
13, S06, SEND, 77:ac:6c:7d:c4:91, 8e:c0:91:f3:cf:a6, Frame, 48, DATA
13, S10, SEND, ba:8a:7d:2:e4:ce, bc:17:db:1e:9e:de, Frame, 48, DATA
13, S08, SEND, ce:d8:48:74:59:a6, 43:7a:cb:e7:a4:6c, Frame, 48, DATA
14, S11, RECEIVE, f2:f1:f:70:58:f6, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
14, S11, RECEIVE, 35.77.47.88/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 35.77.47.88/0
14, S04, RECEIVE, f2:f1:f:70:58:f6, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
14, S04, RECEIVE, 35.77.47.88/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 35.77.47.88/0
14, S14, RECEIVE, f2:f1:f:70:58:f6, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
14, S14, RECEIVE, 35.77.47.88/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 35.77.47.88/0
14, S01, RECEIVE, f2:f1:f:70:58:f6, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
14, S01, RECEIVE, 35.77.47.88/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 35.77.47.88/0
15, S11, SEND, 14.205.37.179/0, 35.77.47.88/0, RCPacket, 28, ROUTE_REP:1 35.77.47.88/0 -> 14.205.37.179/0
15, S11, SEND, 35.77.47.88/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 35.77.47.88/0 -> 14.205.37.179/0
15, S11, SEND, 80:14:70:15:39:83, f2:f1:f:70:58:f6, Frame, 20, ACK
15, S04, SEND, 155.202.229.150/0, 35.77.47.88/0, RCPacket, 28, ROUTE_REP:2 35.77.47.88/0 -> 155.202.229.150/0
15, S04, SEND, 35.77.47.88/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 35.77.47.88/0 -> 155.202.229.150/0
15, S04, SEND, 96:44:1c:d6:94:90, 43:7a:cb:e7:a4:6c, Frame, 20, ACK
15, S14, SEND, 177.45.112.71/0, 35.77.47.88/0, RCPacket, 28, ROUTE_REP:2 35.77.47.88/0 -> 177.45.112.71/0
15, S14, SEND, 35.77.47.88/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 35.77.47.88/0 -> 177.45.112.71/0
15, S01, SEND, 96.56.122.190/0, 35.77.47.88/0, RCPacket, 28, ROUTE_REP:1 35.77.47.88/0 -> 96.56.122.190/0
15, S01, SEND, 35.77.47.88/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 35.77.47.88/0 -> 96.56.122.190/0
18, S11, SEND, 80:14:70:15:39:83, f2:f1:f:70:58:f6, Frame, 48, DATA
18, S04, SEND, 96:44:1c:d6:94:90, f2:f1:f:70:58:f6, Frame, 20, ACK
19, S15, SEND, 6:8b:27:5f:bc:32, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
21, S04, SEND, 96:44:1c:d6:94:90, 43:7a:cb:e7:a4:6c, Frame, 48, DATA
23, S10, RECEIVE, 6:8b:27:5f:bc:32, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
23, S10, RECEIVE, 130.189.133.177/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 130.189.133.177/0
24, S10, SEND, 48.151.68.235/0, 130.189.133.177/0, RCPacket, 28, ROUTE_REP:2 130.189.133.177/0 -> 48.151.68.235/0
24, S10, SEND, 130.189.133.177/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 130.189.133.177/0 -> 48.151.68.235/0
24, S15, SEND, 6:8b:27:5f:bc:32, bc:17:db:1e:9e:de, Frame, 20, ACK
25, S03, RECEIVE, 96:44:1c:d6:94:90, 43:7a:cb:e7:a4:6c, Frame, 48, DATA
25, S03, RECEIVE, 155.202.229.150/0, 152.56.31.180/0, RCPacket, 28, ROUTE_REP:1 152.56.31.180/0 -> 155.202.229.150/0
26, S03, SEND, 43:7a:cb:e7:a4:6c, 96:44:1c:d6:94:90, Frame, 20, ACK
27, S15, SEND, 6:8b:27:5f:bc:32, ba:8a:7d:2:e4:ce, Frame, 20, ACK
28, S04, RECEIVE, 43:7a:cb:e7:a4:6c, 96:44:1c:d6:94:90, Frame, 20, ACK
29, S04, SEND, 96:44:1c:d6:94:90, ff:ff:ff:ff:ff:ff, Frame, 48, DATA
29, S10, RECEIVE, 6:8b:27:5f:bc:32, ba:8a:7d:2:e4:ce, Frame, 20, ACK
30, S10, SEND, ba:8a:7d:2:e4:ce, 6:8b:27:5f:bc:32, Frame, 20, ACK
32, S15, RECEIVE, ba:8a:7d:2:e4:ce, 6:8b:27:5f:bc:32, Frame, 20, ACK
33, S10, SEND, ba:8a:7d:2:e4:ce, ff:ff:ff:ff:ff:ff, Frame, 48, DATA
33, S03, RECEIVE, 96:44:1c:d6:94:90, ff:ff:ff:ff:ff:ff, Frame, 48, DATA
33, S02, RECEIVE, 96:44:1c:d6:94:90, ff:ff:ff:ff:ff:ff, Frame, 48, DATA
33, S02, RECEIVE, 152.56.31.180/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 152.56.31.180/0 -> 155.202.229.150/0
34, S03, SEND, 43:7a:cb:e7:a4:6c, 96:44:1c:d6:94:90, Frame, 20, ACK
34, S02, SEND, 35.77.47.88/0, 152.56.31.180/0, RCPacket, 32, ROUTE_REP:1 152.56.31.180/0 -> 155.202.229.150/0 -> 35.77.47.88/0
34, S02, SEND, 152.56.31.180/0, 255.255.255.255/0, RCPacket, 32, ROUTE_REQ:0 152.56.31.180/0 -> 155.202.229.150/0 -> 35.77.47.88/0
36, S14, SEND, 39:ea:b7:f6:e3:fd, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
36, S04, RECEIVE, 43:7a:cb:e7:a4:6c, 96:44:1c:d6:94:90, Frame, 20, ACK
37, S07, RECEIVE, ba:8a:7d:2:e4:ce, ff:ff:ff:ff:ff:ff, Frame, 48, DATA
37, S15, RECEIVE, ba:8a:7d:2:e4:ce, ff:ff:ff:ff:ff:ff, Frame, 48, DATA
38, S10, SEND, ba:8a:7d:2:e4:ce, 6:8b:27:5f:bc:32, Frame, 48, DATA
39, S04, SEND, 96:44:1c:d6:94:90, f2:f1:f:70:58:f6, Frame, 48, DATA
40, S11, RECEIVE, 39:ea:b7:f6:e3:fd, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
40, S11, RECEIVE, 177.45.112.71/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 177.45.112.71/0
40, S09, RECEIVE, 39:ea:b7:f6:e3:fd, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
40, S09, RECEIVE, 177.45.112.71/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 177.45.112.71/0
40, S05, RECEIVE, 39:ea:b7:f6:e3:fd, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
40, S05, RECEIVE, 177.45.112.71/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 177.45.112.71/0
41, S11, SEND, 14.205.37.179/0, 177.45.112.71/0, RCPacket, 28, ROUTE_REP:2 177.45.112.71/0 -> 14.205.37.179/0
41, S11, SEND, 177.45.112.71/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 177.45.112.71/0 -> 14.205.37.179/0
41, S14, SEND, 39:ea:b7:f6:e3:fd, f2:f1:f:70:58:f6, Frame, 20, ACK
41, S09, SEND, 11.45.251.230/0, 177.45.112.71/0, RCPacket, 28, ROUTE_REP:1 177.45.112.71/0 -> 11.45.251.230/0
41, S09, SEND, 177.45.112.71/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 177.45.112.71/0 -> 11.45.251.230/0
41, S05, SEND, 160.220.175.59/0, 177.45.112.71/0, RCPacket, 28, ROUTE_REP:1 177.45.112.71/0 -> 160.220.175.59/0
41, S05, SEND, 177.45.112.71/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 177.45.112.71/0 -> 160.220.175.59/0
42, S15, RECEIVE, ba:8a:7d:2:e4:ce, 6:8b:27:5f:bc:32, Frame, 48, DATA
42, S15, RECEIVE, 48.151.68.235/0, 130.189.133.177/0, RCPacket, 28, ROUTE_REP:2 130.189.133.177/0 -> 48.151.68.235/0
44, S02, SEND, f2:f1:f:70:58:f6, 96:44:1c:d6:94:90, Frame, 20, ACK
46, S04, RECEIVE, f2:f1:f:70:58:f6, 96:44:1c:d6:94:90, Frame, 20, ACK
47, S02, SEND, f2:f1:f:70:58:f6, 96:44:1c:d6:94:90, Frame, 52, DATA
49, S15, SEND, 6:8b:27:5f:bc:32, ba:8a:7d:2:e4:ce, Frame, 48, DATA
52, S04, RECEIVE, f2:f1:f:70:58:f6, 96:44:1c:d6:94:90, Frame, 52, DATA
52, S04, RECEIVE, 35.77.47.88/0, 152.56.31.180/0, RCPacket, 32, ROUTE_REP:1 152.56.31.180/0 -> 155.202.229.150/0 -> 35.77.47.88/0
53, S04, SEND, 35.77.47.88/0, 152.56.31.180/0, RCPacket, 32, ROUTE_REP:1 152.56.31.180/0 -> 155.202.229.150/0 -> 35.77.47.88/0
53, S10, RECEIVE, 6:8b:27:5f:bc:32, ba:8a:7d:2:e4:ce, Frame, 48, DATA
53, S10, RECEIVE, 130.189.133.177/0, 48.151.68.235/0, RCPacket, 28, ROUTE_REP:1 48.151.68.235/0 -> 130.189.133.177/0
54, S14, SEND, 39:ea:b7:f6:e3:fd, 80:14:70:15:39:83, Frame, 20, ACK
56, S11, RECEIVE, 39:ea:b7:f6:e3:fd, 80:14:70:15:39:83, Frame, 20, ACK
57, S04, SEND, 96:44:1c:d6:94:90, ff:ff:ff:ff:ff:ff, Frame, 48, DATA
57, S14, SEND, 39:ea:b7:f6:e3:fd, 80:14:70:15:39:83, Frame, 48, DATA
59, S06, SEND, 77:ac:6c:7d:c4:91, 8e:c0:91:f3:cf:a6, Frame, 48, DATA
59, S08, SEND, ce:d8:48:74:59:a6, 43:7a:cb:e7:a4:6c, Frame, 48, DATA
61, S11, RECEIVE, 39:ea:b7:f6:e3:fd, 80:14:70:15:39:83, Frame, 48, DATA
61, S11, RECEIVE, 177.45.112.71/0, 14.205.37.179/0, RCPacket, 28, ROUTE_REP:1 14.205.37.179/0 -> 177.45.112.71/0
62, S04, SEND, 96:44:1c:d6:94:90, f2:f1:f:70:58:f6, Frame, 20, ACK
64, S11, SEND, 80:14:70:15:39:83, f2:f1:f:70:58:f6, Frame, 48, DATA
65, S04, SEND, 96:44:1c:d6:94:90, 43:7a:cb:e7:a4:6c, Frame, 52, DATA
69, S07, SEND, 6e:c8:a7:5a:9a:4b, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
70, S03, RECEIVE, 96:44:1c:d6:94:90, 43:7a:cb:e7:a4:6c, Frame, 52, DATA
70, S03, RECEIVE, 35.77.47.88/0, 152.56.31.180/0, RCPacket, 32, ROUTE_REP:1 152.56.31.180/0 -> 155.202.229.150/0 -> 35.77.47.88/0
71, S03, SEND, 43:7a:cb:e7:a4:6c, 96:44:1c:d6:94:90, Frame, 20, ACK
73, S11, RECEIVE, 6e:c8:a7:5a:9a:4b, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
73, S11, RECEIVE, 162.110.76.201/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 162.110.76.201/0
73, S04, RECEIVE, 43:7a:cb:e7:a4:6c, 96:44:1c:d6:94:90, Frame, 20, ACK
73, S10, RECEIVE, 6e:c8:a7:5a:9a:4b, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
73, S10, RECEIVE, 162.110.76.201/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 162.110.76.201/0
73, S09, RECEIVE, 6e:c8:a7:5a:9a:4b, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
73, S09, RECEIVE, 162.110.76.201/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 162.110.76.201/0
73, S13, RECEIVE, 6e:c8:a7:5a:9a:4b, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
73, S13, RECEIVE, 162.110.76.201/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 162.110.76.201/0
73, S15, RECEIVE, 6e:c8:a7:5a:9a:4b, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
73, S15, RECEIVE, 162.110.76.201/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 162.110.76.201/0
74, S11, SEND, 14.205.37.179/0, 162.110.76.201/0, RCPacket, 28, ROUTE_REP:3 162.110.76.201/0 -> 14.205.37.179/0
74, S11, SEND, 162.110.76.201/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 162.110.76.201/0 -> 14.205.37.179/0
74, S10, SEND, 48.151.68.235/0, 162.110.76.201/0, RCPacket, 28, ROUTE_REP:3 162.110.76.201/0 -> 48.151.68.235/0
74, S10, SEND, 162.110.76.201/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 162.110.76.201/0 -> 48.151.68.235/0
74, S07, SEND, 6e:c8:a7:5a:9a:4b, ba:8a:7d:2:e4:ce, Frame, 20, ACK
74, S09, SEND, 11.45.251.230/0, 162.110.76.201/0, RCPacket, 28, ROUTE_REP:2 162.110.76.201/0 -> 11.45.251.230/0
74, S09, SEND, 162.110.76.201/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 162.110.76.201/0 -> 11.45.251.230/0
74, S13, SEND, 35.244.24.95/0, 162.110.76.201/0, RCPacket, 28, ROUTE_REP:1 162.110.76.201/0 -> 35.244.24.95/0
74, S13, SEND, 162.110.76.201/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 162.110.76.201/0 -> 35.244.24.95/0
74, S15, SEND, 130.189.133.177/0, 162.110.76.201/0, RCPacket, 28, ROUTE_REP:3 162.110.76.201/0 -> 130.189.133.177/0
74, S15, SEND, 162.110.76.201/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 162.110.76.201/0 -> 130.189.133.177/0
76, S10, RECEIVE, 6e:c8:a7:5a:9a:4b, ba:8a:7d:2:e4:ce, Frame, 20, ACK
77, S07, SEND, 6e:c8:a7:5a:9a:4b, bc:17:db:1e:9e:de, Frame, 20, ACK
77, S05, SEND, 8e:c0:91:f3:cf:a6, 39:ea:b7:f6:e3:fd, Frame, 20, ACK
79, S12, RECEIVE, 6e:c8:a7:5a:9a:4b, bc:17:db:1e:9e:de, Frame, 20, ACK
79, S14, RECEIVE, 8e:c0:91:f3:cf:a6, 39:ea:b7:f6:e3:fd, Frame, 20, ACK
80, S07, SEND, 6e:c8:a7:5a:9a:4b, bc:17:db:1e:9e:de, Frame, 48, DATA
80, S14, SEND, 39:ea:b7:f6:e3:fd, ff:ff:ff:ff:ff:ff, Frame, 48, DATA
84, S10, SEND, ba:8a:7d:2:e4:ce, 6:8b:27:5f:bc:32, Frame, 48, DATA
84, S02, RECEIVE, 39:ea:b7:f6:e3:fd, ff:ff:ff:ff:ff:ff, Frame, 48, DATA
84, S02, RECEIVE, 14.205.37.179/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 14.205.37.179/0 -> 177.45.112.71/0
84, S05, RECEIVE, 39:ea:b7:f6:e3:fd, ff:ff:ff:ff:ff:ff, Frame, 48, DATA
84, S05, RECEIVE, 14.205.37.179/0, 255.255.255.255/0, RCPacket, 28, ROUTE_REQ:0 14.205.37.179/0 -> 177.45.112.71/0
85, S02, SEND, 35.77.47.88/0, 14.205.37.179/0, RCPacket, 32, ROUTE_REP:2 14.205.37.179/0 -> 177.45.112.71/0 -> 35.77.47.88/0
85, S02, SEND, 14.205.37.179/0, 255.255.255.255/0, RCPacket, 32, ROUTE_REQ:0 14.205.37.179/0 -> 177.45.112.71/0 -> 35.77.47.88/0
85, S14, SEND, 39:ea:b7:f6:e3:fd, f2:f1:f:70:58:f6, Frame, 48, DATA
85, S05, SEND, 160.220.175.59/0, 14.205.37.179/0, RCPacket, 32, ROUTE_REP:2 14.205.37.179/0 -> 177.45.112.71/0 -> 160.220.175.59/0
85, S05, SEND, 14.205.37.179/0, 255.255.255.255/0, RCPacket, 32, ROUTE_REQ:0 14.205.37.179/0 -> 177.45.112.71/0 -> 160.220.175.59/0
89, S02, RECEIVE, 39:ea:b7:f6:e3:fd, f2:f1:f:70:58:f6, Frame, 48, DATA
89, S02, RECEIVE, 177.45.112.71/0, 35.77.47.88/0, RCPacket, 28, ROUTE_REP:2 35.77.47.88/0 -> 177.45.112.71/0
90, S05, SEND, 8e:c0:91:f3:cf:a6, 39:ea:b7:f6:e3:fd, Frame, 48, DATA
94, S02, SEND, f2:f1:f:70:58:f6, 96:44:1c:d6:94:90, Frame, 52, DATA
95, S15, SEND, 6:8b:27:5f:bc:32, ba:8a:7d:2:e4:ce, Frame, 48, DATA
99, S04, RECEIVE, f2:f1:f:70:58:f6, 96:44:1c:d6:94:90, Frame, 52, DATA
99, S10, RECEIVE, 6:8b:27:5f:bc:32, ba:8a:7d:2:e4:ce, Frame, 48, DATA
100, S04, SEND, 96:44:1c:d6:94:90, f2:f1:f:70:58:f6, Frame, 20, ACK
102, S02, RECEIVE, 96:44:1c:d6:94:90, f2:f1:f:70:58:f6, Frame, 20, ACK
103, S02, SEND, f2:f1:f:70:58:f6, 39:ea:b7:f6:e3:fd, Frame, 20, ACK
105, S06, SEND, 77:ac:6c:7d:c4:91, 8e:c0:91:f3:cf:a6, Frame, 48, DATA
105, S08, SEND, ce:d8:48:74:59:a6, 43:7a:cb:e7:a4:6c, Frame, 48, DATA
105, S14, RECEIVE, f2:f1:f:70:58:f6, 39:ea:b7:f6:e3:fd, Frame, 20, ACK
106, S02, SEND, f2:f1:f:70:58:f6, 39:ea:b7:f6:e3:fd, Frame, 20, ACK
108, S14, RECEIVE, f2:f1:f:70:58:f6, 39:ea:b7:f6:e3:fd, Frame, 20, ACK
109, S02, SEND, f2:f1:f:70:58:f6, ff:ff:ff:ff:ff:ff, Frame, 52, DATA
114, S12, RECEIVE, f2:f1:f:70:58:f6, ff:ff:ff:ff:ff:ff, Frame, 52, DATA
114, S12, RECEIVE, 152.56.31.180/0, 255.255.255.255/0, RCPacket, 32, ROUTE_REQ:0 152.56.31.180/0 -> 155.202.229.150/0 -> 35.77.47.88/0
114, S11, RECEIVE, f2:f1:f:70:58:f6, ff:ff:ff:ff:ff:ff, Frame, 52, DATA
114, S11, RECEIVE, 152.56.31.180/0, 255.255.255.255/0, RCPacket, 32, ROUTE_REQ:0 152.56.31.180/0 -> 155.202.229.150/0 -> 35.77.47.88/0
114, S04, RECEIVE, f2:f1:f:70:58:f6, ff:ff:ff:ff:ff:ff, Frame, 52, DATA
114, S14, RECEIVE, f2:f1:f:70:58:f6, ff:ff:ff:ff:ff:ff, Frame, 52, DATA
114, S14, RECEIVE, 152.56.31.180/0, 255.255.255.255/0, RCPacket, 32, ROUTE_REQ:0 152.56.31.180/0 -> 155.202.229.150/0 -> 35.77.47.88/0
114, S01, RECEIVE, f2:f1:f:70:58:f6, ff:ff:ff:ff:ff:ff, Frame, 52, DATA
114, S01, RECEIVE, 152.56.31.180/0, 255.255.255.255/0, RCPacket, 32, ROUTE_REQ:0 152.56.31.180/0 -> 155.202.229.150/0 -> 35.77.47.88/0
115, S12, SEND, 178.235.187.92/0, 152.56.31.180/0, RCPacket, 36, ROUTE_REP:1 152.56.31.180/0 -> 155.202.229.150/0 -> 35.77.47.88/0 -> 178.235.187.92/0
115, S12, SEND, 152.56.31.180/0, 255.255.255.255/0, RCPacket, 36, ROUTE_REQ:0 152.56.31.180/0 -> 155.202.229.150/0 -> 35.77.47.88/0 -> 178.235.187.92/0
115, S12, SEND, bc:17:db:1e:9e:de, f2:f1:f:70:58:f6, Frame, 20, ACK
115, S11, SEND, 14.205.37.179/0, 152.56.31.180/0, RCPacket, 36, ROUTE_REP:4 152.56.31.180/0 -> 155.202.229.150/0 -> 35.77.47.88/0 -> 14.205.37.179/0
115, S11, SEND, 152.56.31.180/0, 255.255.255.255/0, RCPacket, 36, ROUTE_REQ:0 152.56.31.180/0 -> 155.202.229.150/0 -> 35.77.47.88/0 -> 14.205.37.179/0
